Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
61724,27.6757,87.6206,32,86,35,81,false,43497
65044,24.5145,86.3363,24,85,32,83,false,43497
62859,25.7467,84.0120,20,81,33,80,false,43497
63492,26.6827,87.7437,23,84,36,82,false,43497
56819,28.1001,86.4184,32,87,36,85,false,43497
61635,26.1391,87.0340,31,87,30,84,false,43497
65861,23.5546,85.9730,25,85,33,84,false,43497
61959,26.3333,84.2753,25,85,43,81,false,43497
58183,26.4875,85.2412,35,88,32,85,false,43497
59630,25.8509,88.0040,24,89,34,85,false,43497
62191,26.3303,85.0420,20,86,32,84,false,43497
63262,25.9159,86.9129,30,86,37,86,false,43497
59826,24.8779,86.0731,33,87,36,87,false,43497
59800,25.0971,85.0330,27,85,31,83,false,43497
57889,27.6737,85.6787,33,89,42,87,false,43497
59027,27.5796,87.2012,27,89,39,87,false,43497
64423,26.4324,87.5065,25,87,35,87,false,43497
60756,29.1031,86.4875,33,85,42,87,false,43497
62083,24.8198,85.6436,18,84,33,83,false,43497
65870,23.1271,85.9029,23,84,30,82,false,43497
57802,25.4444,86.8909,33,86,28,83,false,43497
64581,25.9029,86.4595,27,86,39,85,false,43497
67200,27.0701,88.4034,27,88,37,85,false,43497
56558,27.4535,87.0330,31,86,37,87,false,43497
63540,27.7608,85.1602,27,85,42,84,false,43497
62551,23.8238,84.3453,19,82,30,81,false,43497
64206,23.5856,83.3163,28,85,38,85,false,43497
65088,24.3864,82.6857,28,82,32,80,false,43497
65266,25.2503,87.1512,25,84,26,82,false,43497
63200,26.4364,85.9089,29,87,35,86,false,43497
57964,29.0631,86.0260,31,87,43,86,false,43497
61579,24.1141,84.7367,26,87,38,88,false,43497
61689,24.5425,82.7107,23,83,38,80,false,43497
63380,25.5265,85.8238,22,84,37,85,false,43497
60983,25.6577,86.2012,23,84,29,80,false,43497
63731,25.8038,85.7357,24,86,37,87,false,43497
63342,25.9319,86.6266,29,85,39,84,false,43497
60640,27.1291,85.0450,25,86,39,84,false,43497
65249,24.8268,86.4274,23,83,33,84,false,43497
60139,28.0601,86.9269,33,86,38,85,false,43497
59764,27.4855,85.3313,30,85,35,83,false,43497
61889,26.8899,86.7828,32,86,33,83,false,43497
57564,26.4404,86.2392,23,87,38,89,false,43497
63099,21.8899,87.1912,20,86,26,84,false,43497
64097,24.5185,87.1301,25,83,32,85,false,43497
62612,26.0400,86.5375,29,86,34,83,false,43497
61849,26.8929,86.2422,26,86,40,86,false,43497
60449,28.1001,87.0080,32,88,42,88,false,43497
57884,26.1101,84.7087,34,86,42,84,false,43497
60576,26.2613,86.3013,26,83,33,83,false,43497
61405,27.1071,86.6717,28,84,31,82,false,43497
59019,26.3253,85.5335,30,83,36,83,false,43497
56666,28.0040,85.7658,35,86,44,84,false,43497
62004,24.5305,85.8789,32,87,34,87,false,43497
61153,26.8529,87.8348,32,86,36,85,false,43497
58012,26.2963,83.4995,28,84,39,85,false,43497
66539,22.3614,84.5415,19,82,30,84,false,43497
62212,28.1391,86.2603,27,85,38,85,false,43497
58622,26.8539,86.9339,30,87,36,88,false,43497
59960,28.5686,86.9570,28,90,41,85,false,43497
60258,27.2352,85.9279,27,86,38,84,false,43497
58669,28.8919,87.6386,34,88,36,85,false,43497
61749,24.1451,84.2743,36,82,34,84,false,43497
59165,24.6857,86.6587,26,86,31,86,false,43497
63366,25.4725,85.0531,24,81,37,82,false,43497
59409,25.0340,86.3043,22,84,29,80,false,43497
61633,25.3844,87.1852,30,86,34,85,false,43497
61959,25.0911,87.9610,26,86,27,84,false,43497
66449,24.2933,86.5646,25,86,31,85,false,43497
61024,23.5335,85.1912,26,81,28,82,false,43497
62305,23.1241,84.0911,25,84,28,81,false,43497
58235,26.2272,85.5245,37,88,34,84,false,43497
59697,27.6296,86.1722,36,87,40,87,false,43497
59950,26.7267,88.1101,27,84,34,84,false,43497
68481,22.9019,84.6807,30,86,35,81,false,43497
65608,23.4004,87.7487,21,86,29,86,false,43497
62177,25.6537,85.8038,23,84,38,83,false,43497
63279,25.6787,86.2322,27,85,35,83,false,43497
59228,29.3974,86.8378,28,87,44,84,false,43497
56447,28.4224,85.1752,35,86,36,82,false,43497
61707,26.8529,87.3794,29,89,40,87,false,43497
63165,24.7608,84.7127,26,80,33,78,false,43497
64458,25.2102,86.8669,28,90,35,85,false,43497
64485,24.3023,85.6076,23,86,33,82,false,43497
59377,27.5876,88.5596,31,90,36,86,false,43497
64276,26.6196,87.0020,33,86,35,85,false,43497
64649,26.4895,88.2042,23,86,37,85,false,43497
59836,26.1371,85.3173,30,88,38,87,false,43497
60551,28.9660,86.6426,28,82,40,83,false,43497
62189,27.2402,85.0661,31,89,35,83,false,43497
58867,26.0611,86.1732,26,86,33,86,false,43497
62723,24.4795,84.8138,26,88,37,86,false,43497
60331,27.0931,87.7067,26,87,41,87,false,43497
63645,25.4865,86.5145,28,84,30,83,false,43497
54522,30.3403,86.2442,31,88,48,87,false,43497
63561,25.6186,88.0841,25,88,38,88,false,43497
56734,28.9459,85.5465,29,84,40,79,false,43497
56119,28.8999,87.3383,24,83,36,85,false,43497
62313,26.7097,85.4314,35,87,36,84,false,43497
62552,24.7227,87.5896,27,90,36,89,false,43497
61325,25.4354,86.3073,33,86,39,84,false,43497
63313,25.0811,86.9099,26,83,34,82,false,43497
66486,26.3233,86.6386,26,85,37,85,false,43497
61575,26.3974,86.9199,25,88,37,87,false,43497
63029,24.5405,86.5766,25,84,35,82,false,43497
60312,24.0100,83.7758,34,85,35,83,false,43497
55582,28.8468,86.1582,32,85,38,85,false,43497
62186,25.2883,83.7227,27,85,44,84,false,43497
62951,26.5826,86.9630,24,84,31,81,false,43497
65726,24.3524,86.5065,27,85,32,85,false,43497
59598,26.4054,85.9730,34,90,32,86,false,43497
62092,27.9329,86.9069,29,89,46,84,false,43497
66743,24.7087,86.2362,28,83,29,82,false,43497
63036,27.0691,85.5536,27,85,33,82,false,43497
61731,24.0621,86.1201,25,87,36,84,false,43497
65063,25.1331,88.1371,19,83,36,84,false,43497
59763,24.7858,86.6967,29,88,29,85,false,43497
61285,23.4124,86.5966,22,89,27,86,false,43497
58647,26.6917,85.7407,23,82,37,80,false,43497
63419,27.5556,85.6957,28,79,33,79,false,43497
58199,25.7578,85.2873,31,84,40,82,false,43497
64665,24.6416,87.1852,24,89,33,88,false,43497
58490,29.1932,86.9429,26,84,40,83,false,43497
65608,26.1502,86.1622,37,88,38,84,false,43497
59856,27.9940,85.3544,30,83,45,84,false,43497
62181,25.7447,83.9259,29,83,34,80,false,43497
64283,25.1061,87.7097,30,89,36,86,false,43497
60018,27.4745,83.1802,28,83,42,80,false,43497
64024,23.3584,86.9289,24,87,29,86,false,43497
60608,24.1852,85.5786,23,85,32,85,false,43497
64054,25.0040,86.6557,24,86,39,85,false,43497
56587,29.5035,86.6677,32,84,41,85,false,43497
64616,24.6977,87.2893,24,85,32,85,false,43497
55740,29.6667,86.5626,35,91,47,93,false,43497
61702,22.5235,83.6847,22,85,33,84,false,43497
63057,26.6096,87.2392,34,85,32,83,false,43497
58051,28.3233,85.3463,28,86,38,83,false,43497
60349,27.9329,85.8118,28,85,38,82,false,43497
62279,25.3714,85.5365,22,82,28,80,false,43497
63146,25.8278,86.4384,27,84,33,81,false,43497
59366,28.1852,87.2923,34,89,42,86,false,43497
63475,26.1321,86.5435,30,86,34,81,false,43497
60016,25.1451,81.7828,29,80,35,76,false,43497
61841,25.0200,84.8979,28,87,33,84,false,43497
60102,25.1822,86.1662,26,86,38,88,false,43497
60857,26.6717,87.9429,25,85,41,88,false,43497
60633,25.4995,86.7758,26,86,37,84,false,43497
64753,25.7908,85.4675,32,89,41,84,false,43497
59919,26.1592,86.0821,30,87,41,85,false,43497
62707,22.4725,86.4515,29,86,32,82,false,43497
62963,25.6687,85.6897,34,87,42,84,false,43497
62474,25.8238,85.2482,29,84,30,79,false,43497
58895,27.6406,84.8509,33,86,38,86,false,43497
