Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
86449,27.6857,89.6557,35,92,38,88,false,69107
90239,28.6146,91.7768,33,93,38,92,false,69107
88026,28.4444,90.9850,37,93,43,93,false,69107
84642,27.2452,89.1271,33,89,38,90,false,69107
87680,28.5926,89.7007,30,93,40,93,false,69107
86005,28.3884,89.8799,32,90,39,91,false,69107
82613,30.3594,90.1301,33,92,41,89,false,69107
83077,30.8999,91.8669,35,93,42,93,false,69107
81996,32.4424,90.5135,44,94,47,91,false,69107
84528,28.2282,91.4244,35,91,41,92,false,69107
83404,27.7538,90.2292,35,91,34,89,false,69107
86528,28.6226,90.3413,34,91,38,89,false,69107
90334,26.1451,90.8078,26,89,35,89,false,69107
88248,26.2312,91.4094,31,92,31,89,false,69107
84112,29.6697,90.8378,36,92,39,90,false,69107
83806,28.3203,89.9129,40,90,34,89,false,69107
85241,28.0080,88.9069,33,89,41,88,false,69107
87538,29.3694,91.3964,37,93,46,90,false,69107
88069,26.6827,88.7988,33,91,34,87,false,69107
86972,26.5676,92.2663,35,93,39,93,false,69107
91732,28.1872,92.0641,37,93,40,91,false,69107
86623,28.1201,89.0300,36,90,41,92,false,69107
86696,27.6927,90.3173,35,91,37,91,false,69107
82956,30.0861,90.0921,37,94,45,90,false,69107
84906,30.8198,90.1902,34,90,39,86,false,69107
87269,29.8168,91.0621,43,95,41,93,false,69107
83439,28.9199,90.9530,34,93,32,89,false,69107
86848,27.0711,88.6246,30,89,38,88,false,69107
86326,29.7077,90.0891,32,91,47,90,false,69107
83206,29.7267,89.9399,38,95,43,92,false,69107
87512,29.4424,87.5766,35,88,42,83,false,69107
87672,29.4094,91.5195,33,92,37,90,false,69107
86567,29.8829,90.5856,35,92,40,90,false,69107
85940,30.2422,90.8358,36,94,47,92,false,69107
87357,27.0490,90.4274,28,90,33,88,false,69107
90183,28.7838,89.7738,30,91,41,88,false,69107
91359,27.1592,91.4955,29,92,34,90,false,69107
87075,27.7598,90.4074,27,91,40,93,false,69107
86999,29.0100,90.6577,34,93,43,89,false,69107
90066,24.8539,90.8799,29,89,33,91,false,69107
83451,28.0110,89.0180,31,90,40,86,false,69107
89423,30.7097,88.7447,36,90,40,86,false,69107
85371,31.2783,90.4655,39,90,47,90,false,69107
85127,28.2703,90.3013,35,93,39,88,false,69107
85318,28.0430,90.1562,37,93,34,91,false,69107
85839,29.2723,90.2753,41,91,37,88,false,69107
87777,28.7127,89.1261,30,88,44,89,false,69107
85921,29.8999,91.7748,38,93,41,91,false,69107
91638,24.5305,89.4004,28,89,31,85,false,69107
81673,30.3804,90.2132,37,95,39,89,false,69107
85393,27.9980,89.6046,35,91,43,89,false,69107
88374,29.7558,90.9239,40,92,34,88,false,69107
84511,27.7407,90.9159,35,95,44,95,false,69107
85740,29.7948,90.8709,33,92,43,92,false,69107
85038,28.9159,90.1041,36,92,38,90,false,69107
91778,29.4414,91.0991,37,92,48,93,false,69107
84288,25.7558,90.9920,21,90,32,88,false,69107
87789,25.0090,88.7097,28,90,41,88,false,69107
91981,28.6046,91.1341,38,93,40,92,false,69107
88797,28.5506,90.8318,33,91,40,88,false,69107
84059,32.0060,91.9510,37,95,48,94,false,69107
81974,30.7558,91.2933,39,94,47,93,false,69107
85151,29.9690,91.1101,41,92,39,90,false,69107
85007,29.5526,90.5245,35,91,41,89,false,69107
85831,28.2172,91.1331,36,92,41,92,false,69107
81762,26.8388,89.1902,34,91,39,90,false,69107
88797,31.0460,91.1431,32,91,42,88,false,69107
87036,28.1612,92.1291,31,92,36,93,false,69107
88172,24.0971,88.5485,31,90,30,89,false,69107
84921,29.7588,91.6176,42,93,34,91,false,69107
91289,24.9109,90.2342,29,92,35,91,false,69107
88488,25.6787,89.6456,26,90,35,88,false,69107
86594,28.8058,90.1411,36,92,40,92,false,69107
85145,29.4314,91.3013,35,94,39,93,false,69107
80827,30.2412,90.2733,36,91,40,89,false,69107
80550,30.9229,89.7107,37,91,42,89,false,69107
84889,30.4925,88.5866,39,89,39,85,false,69107
84330,28.6436,89.8669,31,91,40,88,false,69107
83187,29.0070,91.8008,34,93,41,92,false,69107
84330,27.9620,89.2963,35,90,36,90,false,69107
88216,29.1031,91.8038,32,94,40,90,false,69107
79123,31.4044,90.5195,39,94,40,94,false,69107
82261,29.7868,91.0050,36,91,45,91,false,69107
86358,28.6416,90.3944,36,95,48,94,false,69107
81593,29.6106,90.1592,44,91,44,90,false,69107
81723,30.3944,91.5906,32,93,40,90,false,69107
86801,28.2462,89.5976,27,89,41,87,false,69107
81441,30.6256,90.6787,35,91,40,90,false,69107
86435,30.7838,91.9560,35,91,47,90,false,69107
90471,27.1922,90.3493,34,92,40,87,false,69107
84334,28.4905,91.4344,32,91,31,88,false,69107
89196,27.7267,88.7998,31,89,34,85,false,69107
84499,32.1371,89.0230,35,91,44,91,false,69107
84523,28.7347,91.3834,34,93,40,92,false,69107
84124,30.5996,90.1512,39,91,47,87,false,69107
85652,31.6176,89.6757,39,90,42,85,false,69107
84114,29.1882,88.6857,36,89,40,90,false,69107
87287,28.5986,90.1021,33,89,37,88,false,69107
85782,30.0250,92.1852,36,94,41,92,false,69107
